City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Morondava,MG,69.8,clear sky,-20.2833,44.2833,La Case Bambou
531,Dingle,PH,75.96,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
534,Kindu,CD,75.87,broken clouds,-2.95,25.95,Résidence Okanda
535,Moramanga,MG,56.39,overcast clouds,-18.9333,48.2,Espace VANILLA
538,Muros,ES,74.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
539,Harnosand,SE,57.22,overcast clouds,62.6323,17.9379,First Hotel Stadt
541,Vigrestad,NO,55.08,broken clouds,58.5667,5.7,Brusand Camping
542,Barrhead,GB,56.73,overcast clouds,55.7992,-4.3929,The Gleniffer
543,Yuanping,CN,69.6,few clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
545,Palimbang,PH,76.78,broken clouds,6.2106,124.1894,Felmar Beach resort
546,Kaeo,NZ,55.33,light rain,-35.1,173.7833,Bushido Lodge
547,Gander,CA,64.53,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
550,Nabire,ID,75.13,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
